JURIS NAME	FACILITY NAME	SEGMENT FROM	SEGMENT TO	DIR	WEEKDAY TRAFFIC VOLUMES																		2012 SPEED AND CONGESTION DATA											
					2007			2008			2009			2010			2011			2012			AM PEAK HOUR						PM PEAK HOUR					
				WB	"70,335"	Wkdy average	V	"69,280"	Wkdy average	V				"68,036"	Wkdy average	O	"65,538"	Wkdy average	O				-	64	-	0.98	-	LOW	-	62	-	1.00	-	LOW
NOR	I-264	I-64	NEWTOWN RD/WCL VA. BEACH	EB	"125,000"		E																63	-	1.01	-	LOW	-	46	-	1.39	-	SEV	-
				WB	"130,000"		E																-	62	-	1.01	-	LOW	-	55	-	1.13	-	LOW
NOR	I-464	CHESAPEAKE CL	SOUTH MAIN ST	NB							"27,535"	7/14 - 7/16	V										48	-	1.30	-	SEV	-	58	-	1.07	-	LOW	-
				SB							"22,665"	7/14 - 7/16	V										-	59	-	1.05	-	LOW	-	61	-	1.01	-	LOW
NOR	I-464	SOUTH MAIN ST	I-264	NB							"26,036"	7/14 - 7/16	V										36	-	1.63	-	SEV	-	51	-	1.13	-	LOW	-
				SB							"21,319"	7/14 - 7/16	V										-	48	-	1.21	-	MOD	-	54	-	1.06	-	LOW
NOR	I-564	ADMIRAL TAUSSIG BLVD	FUTURE INTERMODAL CONNECTOR	NB	"22,920"	Wkdy average	V	"21,422"	Wkdy average	V	"20,746"	Wkdy average	V	"20,314"	Wkdy average	V	"19,946"	Wkdy average	V	"20,363"	Wkdy average	V	34	-	1.71	-	SEV	-	50	-	1.16	-	MOD	-
				SB	"24,138"	Wkdy average	V	"22,858"	Wkdy average	V	"23,065"	Wkdy average	V	"22,287"	Wkdy average	V	"22,519"	Wkdy average	V	"22,539"	Wkdy average	V	-	49	-	1.17	-	MOD	-	48	-	1.20	-	MOD
NOR	I-564	FUTURE INTERMODAL CONNECTOR	INTERNATIONAL TERMINAL BLVD	NB	"22,920"	Wkdy average	V	"21,422"	Wkdy average	V	"20,746"	Wkdy average	V	"20,314"	Wkdy average	V	"19,976"	Wkdy average	V	"20,363"	Wkdy average	V	34	-	1.71	-	SEV	-	50	-	1.16	-	MOD	-
				SB	"24,138"	Wkdy average	V	"22,858"	Wkdy average	V	"23,065"	Wkdy average	V	"22,287"	Wkdy average	V	"22,519"	Wkdy average	V	"22,539"	Wkdy average	V	-	49	-	1.17	-	MOD	-	48	-	1.20	-	MOD
NOR	I-564	INTERNATIONAL TERMINAL BLVD	I-64	NB							"38,032"	8/11 - 8/13	V										46	-	1.34	-	SEV	-	50	-	1.23	-	MOD	-
				SB							"28,623"	8/11 - 8/13	V										-	50	-	1.20	-	MOD	-	40	-	1.50	-	SEV
NOR	INDIAN RIVER RD	MARSH ST	WILSON RD								"14,611"	4/29 - 4/30	V							"14,324"	5/30 - 5/31	V	27	29	1.19	1.16	LOW	LOW	25	30	1.30	1.13	MOD	LOW
NOR	INDIAN RIVER RD	WILSON RD	CAMPOSTELLA RD								"14,611"	4/29 - 4/30	V							"14,324"	5/30 - 5/31	V	21	23	1.37	1.29	MOD	MOD	23	23	1.26	1.27	MOD	MOD
NOR	INDIAN RIVER RD	CAMPOSTELLA RD	CHESAPEAKE CL								"20,470"	4/28 - 4/30	V							"17,236"	5/30 - 5/31	V	34	32	1.13	1.17	LOW	LOW	35	33	1.08	1.15	LOW	LOW
NOR	INGLESIDE RD	VA BEACH BLVD	PRINCESS ANNE RD																	"13,338"	10/10 - 10/11	V	28	26	1.19	1.24	LOW	LOW	27	28	1.23	1.17	LOW	LOW
NOR	INGLESIDE RD	PRINCESS ANNE RD	TAIT TERRACE DR								"16,228"	3/24 - 3/26	V							"13,853"	11/27 - 11/28	V	27	28	1.15	1.14	LOW	LOW	27	28	1.15	1.13	LOW	LOW
NOR	INTERNATIONAL TERMINAL BLVD	HAMPTON BLVD	I-564		"29,645"	Wkdy average	V	"28,935"	Wkdy average	V	"28,673"	Wkdy average	V	"28,917"	Wkdy average	V	"31,283"	Wkdy average	V	"28,686"	Wkdy average	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	JAMESTOWN CRESCENT	53RD ST	HAMPTON BLVD								"6,090"	2/18 - 4/16	V							"7,887"	6/6 - 6/7	V	29	29	1.08	1.01	LOW	LOW	27	27	1.14	1.09	LOW	LOW
NOR	JOHNSTONS RD	SEWELLS POINT RD	CHESAPEAKE BLVD								"7,099"	2/3 - 2/4	V							"7,002"	5/1 - 5/2	V	-	-	-	-	LOW		-	-	-	-	MOD	
NOR	JOHNSTONS RD	CHESAPEAKE BLVD	MILITARY HWY								"11,339"	2/3 - 2/4	V							"11,679"	5/1 - 5/2	V	-	-	-	-	MOD		-	-	-	-	MOD	
NOR	JOHNSTONS RD/HALPRIN LN	MILITARY HWY	LITTLE CREEK RD								"7,260"	2/3 - 2/4	V							"7,738"	5/1 - 5/2	V	-	-	-	-	LOW		-	-	-	-	MOD	
NOR	KEMPSVILLE RD	NEWTOWN RD	VA BEACH BLVD								"23,851"	5/13 - 5/14	V							"21,166"	11/7 - 11/8	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	KEMPSVILLE RD	VA BEACH BLVD	NORTHAMPTON BLVD								"13,883"	5/6 - 5/7	V							"12,890"	11/7 - 11/8	V	-	-	-	-	MOD		-	-	-	-	SEV	
NOR	LAFAYETTE BLVD	27TH ST	TIDEWATER DR								"17,419"	4/29 - 4/30	V							"14,797"	9/18 - 9/19	V	29	28	1.19	1.14	LOW	LOW	26	29	1.30	1.11	MOD	LOW
NOR	LAFAYETTE BLVD	TIDEWATER DR	CHESAPEAKE BLVD								"19,141"	6/23 - 6/24	V							"17,668"	10/16 - 10/17	V	23	24	1.19	1.27	LOW	MOD	24	25	1.16	1.24	LOW	LOW
NOR	LIBERTY ST	STATE ST	SOUTH MAIN ST								"4,156"	4/8 - 4/9	V							"4,081"	3/27 - 3/29	V	-	-	-	-	MOD		-	-	-	-	MOD	
NOR	LIBERTY ST	SOUTH MAIN ST	CHESAPEAKE CL								"5,172"	4/8 - 4/9	V							"4,786"	5/30 - 5/31	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LITTLE CREEK RD	HAMPTON BLVD	GRANBY ST								"22,369"	6/3 - 6/4	V										-	-	-	-	MOD		-	-	-	-	MOD	
NOR	LITTLE CREEK RD	GRANBY ST	I-64		"28,770"	3/20 - 3/21	V				"27,158"	6/3 - 6/4	V							"24,198"	10/24 - 10/25	V	-	-	-	-	MOD		-	-	-	-	MOD	
NOR	LITTLE CREEK RD	I-64	TIDEWATER DR								"25,991"	4/28 - 4/29	V							"23,954"	11/13 - 11/14	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LITTLE CREEK RD	TIDEWATER DR	SEWELLS POINT RD								"29,385"	5/20 - 5/21	V							"28,312"	10/24 - 10/25	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LITTLE CREEK RD	SEWELLS POINT RD	CHESAPEAKE BLVD								"29,385"	5/20 - 5/21	V							"28,312"	10/24 - 10/25	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LITTLE CREEK RD	CHESAPEAKE BLVD	MILITARY HWY								"40,517"	5/20 - 5/21	V							"38,980"	10/24 - 10/25	V	-	-	-	-	LOW		-	-	-	-	MOD	
NOR	LITTLE CREEK RD	MILITARY HWY	AZALEA GARDEN RD								"28,328"	5/19 - 5/20	V							"27,379"	10/17 - 10/18	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LITTLE CREEK RD	AZALEA GARDEN RD	SHORE DR								"25,157"	5/20 - 5/21	V										-	-	-	-	LOW		-	-	-	-	LOW	
NOR	LLEWELLYN AVE	VA BEACH BLVD	PRINCESS ANNE RD								"9,391"	4/29 - 4/30	V										26	32	1.25	0.95	MOD	LOW	26	31	1.26	0.96	MOD	LOW
NOR	LLEWELLYN AVE	PRINCESS ANNE RD	21ST ST								"9,982"	5/20 - 5/21	V							"8,752"	4/25 - 4/26	V	25	27	1.38	1.26	MOD	MOD	25	28	1.34	1.21	MOD	LOW
NOR	LLEWELLYN AVE	21ST ST	26TH ST								"8,749"	5/6 - 5/7	V							"7,460"	4/25 - 4/26	V	23	25	1.09	0.93	LOW	LOW	22	25	1.11	0.92	LOW	LOW
NOR	LLEWELLYN AVE	26TH ST	27TH ST								"8,749"	5/6 - 5/7	V							"7,460"	4/25 - 4/26	V	23	25	1.09	0.93	LOW	LOW	22	25	1.11	0.92	LOW	LOW
NOR	LLEWELLYN AVE	27TH ST	35TH ST								"7,486"	6/16 - 6/17	V							"6,530"	7/31 - 8/2	V	29	26	0.97	1.02	LOW	LOW	29	25	0.97	1.07	LOW	LOW
NOR	LLEWELLYN AVE	35TH ST	38TH ST								"7,486"	6/16 - 6/17	V							"6,530"	7/31 - 8/2	V	29	26	0.97	1.02	LOW	LOW	29	25	0.97	1.07	LOW	LOW
NOR	LLEWELLYN AVE	38TH ST	DELAWARE AVE								"12,688"	5/6 - 5/7	V										23	28	1.25	1.16	MOD	LOW	24	29	1.18	1.15	LOW	LOW
NOR	LLEWELLYN AVE	DELAWARE AVE	GRANBY ST								"8,412"	5/6 - 5/7	V										-	28	-	1.16	-	LOW	-	29	-	1.15	-	LOW
NOR	MIDTOWN TUNNEL	PORTSMOUTH CL	BRAMBLETON AVE		"41,015"	Wkdy average	T	"41,280"	Wkdy average	T	"41,115"	Wkdy average	T	"40,962"	Wkdy average	T	"41,390"	Wkdy average	T	"40,803"	Wkdy average	T	26	40	1.69	0.89	SEV	LOW	29	40	1.50	0.91	SEV	LOW
NOR	MILITARY HWY	VA BEACH CL	I-264								"50,478"	5/27 - 5/28	V							"49,084"	12/12	V	41	38	1.13	1.22	LOW	LOW	41	32	1.14	1.44	LOW	SEV
NOR	MILITARY HWY	I-264	VA BEACH BLVD																	"48,420"	10/23 - 10/25	V	40	39	1.00	1.07	LOW	LOW	36	33	1.10	1.26	LOW	MOD
NOR	MILITARY HWY	VA BEACH BLVD	LOWERY RD								"49,231"	4/29 - 4/30	V							"44,847"	10/23 - 10/25	V	29	34	1.10	1.11	LOW	LOW	27	28	1.18	1.40	LOW	SEV
NOR	MILITARY HWY	LOWERY RD	PRIN ANNE RD/NORTHAMPTON BLVD								"49,231"	4/29 - 4/30	V							"44,847"	10/23 - 10/25	V	29	34	1.10	1.11	LOW	LOW	27	28	1.18	1.40	LOW	SEV
NOR	MILITARY HWY	PRIN ANNE RD/NORTHAMPTON BLVD	I-64								"46,913"	4/28 - 4/29	V							"46,093"	11/14 - 11/15	V	34	29	1.10	1.19	LOW	LOW	35	25	1.07	1.40	LOW	SEV
NOR	MILITARY HWY	I-64	AZALEA GARDEN RD								"25,958"	4/28 - 5/28	V										32	29	1.13	1.31	LOW	MOD	31	30	1.16	1.26	LOW	MOD
NOR	MILITARY HWY	AZALEA GARDEN RD	NORVIEW AVE								"26,064"	6/9 - 7/23	V							"25,636"	10/24 - 10/25	V	33	32	1.07	1.13	LOW	LOW	28	33	1.25	1.11	MOD	LOW
NOR	MILITARY HWY	NORVIEW AVE	JOHNSTONS RD								"26,555"	6/3 - 6/4	V							"24,850"	10/24 - 10/25	V	36	36	1.18	1.28	LOW	MOD	33	33	1.29	1.40	MOD	SEV
NOR	MILITARY HWY	JOHNSTONS RD	LITTLE CREEK RD								"26,555"	6/3 - 6/4	V							"24,850"	10/24 - 10/25	V	37	36	1.03	1.12	LOW	LOW	35	35	1.13	1.15	LOW	LOW
NOR	MONTICELLO AVE	CITY HALL AVE	BRAMBLETON AVE																	"3,308"	10/17 - 10/18	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	MONTICELLO AVE	BRAMBLETON AVE	ST PAULS BLVD		"8,325"	4/3	V				"4,656"	5/13 - 6/17	V										-	-	-	-	LOW		-	-	-	-	LOW	
NOR	MONTICELLO AVE	ST PAULS BLVD	VA BEACH BLVD								"26,231"	2/18 - 2/19	V							"26,154"	5/15	V	24	23	1.36	1.14	MOD	LOW	26	22	1.24	1.21	LOW	LOW
NOR	MONTICELLO AVE	VA BEACH BLVD	PRINCESS ANNE RD								"22,494"	5/13 - 5/14	V							"24,789"	10/17 - 10/18	V	24	23	1.36	1.14	MOD	LOW	26	22	1.24	1.21	LOW	LOW
NOR	MONTICELLO AVE	PRINCESS ANNE RD	21ST ST								"22,494"	5/13 - 5/14	V							"24,789"	10/17 - 10/18	V	25	25	1.26	1.14	MOD	LOW	26	25	1.20	1.14	LOW	LOW
NOR	MONTICELLO AVE	21ST ST	26TH ST								"18,326"	5/13 - 5/14	V							"18,273"	5/15 - 5/16	V	23	26	1.23	1.04	LOW	LOW	24	25	1.16	1.08	LOW	LOW
NOR	MONTICELLO AVE	26TH ST	27TH ST								"18,326"	5/13 - 5/14	V							"18,273"	5/15 - 5/16	V	23	26	1.23	1.04	LOW	LOW	24	25	1.16	1.08	LOW	LOW
NOR	MONTICELLO AVE	27TH ST	CHURCH ST								"18,326"	5/13 - 5/14	V							"18,273"	5/15 - 5/16	V	23	26	1.23	1.04	LOW	LOW	24	25	1.16	1.08	LOW	LOW
NOR	NEWTOWN RD	KEMPSVILLE RD	I-264								"31,540"	5/12 - 9/17	V							"30,487"	12/5 - 12/6	V	29	27	1.11	1.05	LOW	LOW	27	22	1.20	1.27	LOW	MOD
NOR	NEWTOWN RD	I-264	VA BEACH BLVD								"37,874"	4/22 - 4/23	V							"35,572"	11/7 - 11/8	V	29	30	1.23	1.22	LOW	LOW	26	26	1.39	1.39	MOD	MOD
NOR	NEWTOWN RD	VA BEACH BLVD	VA BEACH CL								"41,723"	6/9 - 6/11	V							"40,738"	11/28 - 11/29	V	30	28	1.19	1.30	LOW	MOD	29	26	1.25	1.40	MOD	SEV
NOR	NORTHAMPTON BLVD	MILITARY HWY	KEMPSVILLE RD								"34,240"	4/29 - 4/30	V							"33,975"	12/11 - 12/12	V	34	32	1.15	1.11	LOW	LOW	31	29	1.26	1.22	MOD	LOW
NOR	NORTHAMPTON BLVD	KEMPSVILLE RD	I-64								"36,498"	4/29 - 4/30	V							"35,463"	12/5 - 12/6	V	34	32	1.15	1.11	LOW	LOW	31	29	1.26	1.22	MOD	LOW
NOR	NORTHAMPTON BLVD	I-64	WESLEYAN DR/VA BEACH CL																	"81,656"	12/5 - 12/6	V	29	28	1.35	1.35	MOD	MOD	32	28	1.23	1.39	LOW	MOD
NOR	NORVIEW AVE	TIDEWATER DR	CHESAPEAKE BLVD								"6,518"	2/11 - 2/12	V							"6,054"	9/19 - 9/20	V	-	-	-	-	LOW		-	-	-	-	MOD	
NOR	NORVIEW AVE	CHESAPEAKE BLVD	I-64					"22,980"	3/12 - 3/13	V	"22,993"	3/31 - 4/2	V							"22,619"	5/2 - 5/3	V	32	28	1.16	1.27	LOW	MOD	33	26	1.10	1.36	LOW	MOD
NOR	NORVIEW AVE	I-64	MILITARY HWY								"28,127"	4/1 - 4/2	V							"26,369"	5/2 - 5/3	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	NORVIEW AVE	MILITARY HWY	AZALEA GARDEN RD								"14,346"	2/10 - 5/7	V							"14,823"	5/2 - 5/3	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	NORVIEW AVE	AZALEA GARDEN RD	NORFOLK INT AIRPORT								"13,103"	3/24 - 3/26	V							"14,047"	5/22 - 5/23	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	OCEAN VIEW AVE	4TH VIEW ST	TIDEWATER DR								"15,220"	4/21 - 4/22	V							"14,462"	5/22 - 5/23	V	28	28	1.12	1.17	LOW	LOW	28	27	1.12	1.23	LOW	LOW
NOR	OCEAN VIEW AVE	TIDEWATER DR	GRANBY ST								"15,220"	4/21 - 4/22	V							"14,462"	5/22 - 5/23	V	28	28	1.12	1.17	LOW	LOW	28	27	1.12	1.23	LOW	LOW
NOR	OCEAN VIEW AVE	GRANBY ST	CHESAPEAKE BLVD								"19,778"	4/22 - 4/23	V							"18,380"	4/18 - 4/19	V	32	33	1.17	1.09	LOW	LOW	30	32	1.24	1.11	LOW	LOW
NOR	OCEAN VIEW AVE	CHESAPEAKE BLVD	21ST BAY ST																	"17,072"	4/18 - 4/19	V	33	34	1.17	1.13	LOW	LOW	32	33	1.21	1.16	LOW	LOW
NOR	OLNEY RD	COLLEY AVE	DUKE ST/VA BEACH BLVD								"10,595"	2/18 - 2/19	V							"9,435"	5/9 - 10/18	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	PARK AVE	BRAMBLETON AVE	VA BEACH BLVD								"16,483"	4/14 - 5/7	V							"16,653"	3/21 - 3/22	V	22	21	1.29	1.40	MOD	SEV	21	19	1.33	1.53	MOD	SEV
NOR	PARK AVE	VA BEACH BLVD	PRINCESS ANNE RD								"14,918"	5/13 - 5/14	V							"13,775"	3/20 - 3/22	V	21	21	0.94	1.07	LOW	LOW	22	20	0.92	1.19	LOW	LOW
NOR	PRINCESS ANNE RD	HAMPTON BLVD	COLLEY AVE								"6,249"	5/6 - 6/17	V							"6,614"	4/24 - 4/25	V	15	15	1.04	1.22	LOW	LOW	16	16	0.97	1.11	LOW	LOW
NOR	PRINCESS ANNE RD	COLLEY AVE	LLEWELLYN AVE								"8,777"	5/20 - 5/21	V							"9,137"	4/24 - 4/25	V	20	17	1.22	1.47	LOW	SEV	19	19	1.25	1.35	MOD	MOD
NOR	PRINCESS ANNE RD	LLEWELLYN AVE	MONTICELLO AVE								"9,720"	4/15 - 4/16	V							"11,419"	4/24 - 4/25	V	19	17	1.20	1.26	LOW	MOD	19	19	1.20	1.12	LOW	LOW
NOR	PRINCESS ANNE RD	MONTICELLO AVE	CHURCH ST								"9,986"	4/15 - 4/16	V							"9,123"	4/24 - 4/25	V	22	23	1.27	1.27	MOD	MOD	23	23	1.21	1.27	LOW	MOD
NOR	PRINCESS ANNE RD	CHURCH ST	TIDEWATER DR								"17,628"	4/22 - 4/23	V							"13,034"	4/24 - 4/25	V	22	23	1.27	1.27	MOD	MOD	23	23	1.21	1.27	LOW	MOD
NOR	PRINCESS ANNE RD	TIDEWATER DR	MAY AVE								"23,335"	4/22 - 4/23	V							"16,293"	9/11 - 9/12	V	24	24	1.17	1.29	LOW	MOD	24	25	1.15	1.21	LOW	LOW
NOR	PRINCESS ANNE RD	MAY AVE	PARK AVE								"23,335"	4/22 - 4/23	V							"16,293"	9/11 - 9/12	V	24	24	1.17	1.29	LOW	MOD	24	25	1.15	1.21	LOW	LOW
NOR	PRINCESS ANNE RD	PARK AVE	BALLENTINE BLVD								"19,530"	5/19 - 5/21	V							"17,853"	3/20 - 3/22	V	29	29	1.19	1.18	LOW	LOW	28	29	1.22	1.17	LOW	LOW
NOR	PRINCESS ANNE RD	BALLENTINE BLVD	INGLESIDE RD		"23,769"	Wkdy average	V	"23,558"	Wkdy average	V	"23,581"	Wkdy average	V	"23,047"	Wkdy average	V	"22,672"	Wkdy average	V	"22,539"	Wkdy average	V	25	25	1.14	1.18	LOW	LOW	25	25	1.14	1.20	LOW	LOW
NOR	PRINCESS ANNE RD	INGLESIDE RD	AZALEA GARDEN RD		"23,769"	Wkdy average	V	"23,558"	Wkdy average	V	"23,581"	Wkdy average	V	"23,047"	Wkdy average	V	"22,672"	Wkdy average	V	"22,539"	Wkdy average	V	29	29	1.14	1.14	LOW	LOW	29	29	1.16	1.16	LOW	LOW
NOR	PRINCESS ANNE RD	AZALEA GARDEN RD	SEWELLS POINT RD								"25,124"	5/19 - 5/20	V							"22,923"	3/20 - 3/22	V	29	29	1.14	1.14	LOW	LOW	29	29	1.16	1.16	LOW	LOW
NOR	PRINCESS ANNE RD	SEWELLS POINT RD	MILITARY HWY								"25,124"	5/19 - 5/20	V							"22,923"	3/20 - 3/22	V	29	29	1.14	1.14	LOW	LOW	29	29	1.16	1.16	LOW	LOW
NOR	ROBIN HOOD RD	CHESAPEAKE BLVD	SEWELLS POINT RD								"6,567"	2/11 - 3/26	V							"6,158"	9/19 - 9/20	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	ROBIN HOOD RD	SEWELLS POINT RD	AZALEA GARDEN RD								"5,440"	2/11 - 2/12	V							"4,647"	9/19 - 9/20	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	ROBIN HOOD RD	AZALEA GARDEN RD	ELLSMERE AVE								"9,552"	2/11 - 2/12	V							"7,799"	10/16 - 10/17	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	ROBIN HOOD RD	ELLSMERE AVE	MILITARY HWY								"12,217"	2/11 - 2/12	V							"9,910"	9/18 - 9/19	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	SEWELLS POINT RD	PRINCESS ANNE RD	AZALEA GARDEN RD								"13,686"	4/28 - 4/29	V							"12,708"	9/18 - 9/19	V	28	24	1.20	1.38	LOW	MOD	24	24	1.38	1.36	MOD	MOD
NOR	SEWELLS POINT RD	AZALEA GARDEN RD	ROBIN HOOD RD								"13,686"	4/28 - 4/29	V							"12,708"	9/18 - 9/19	V	28	24	1.20	1.38	LOW	MOD	24	24	1.38	1.36	MOD	MOD
NOR	SEWELLS POINT RD	ROBIN HOOD RD	CHESAPEAKE BLVD								"13,686"	4/28 - 4/29	V							"12,708"	9/18 - 9/19	V	30	31	1.12	1.18	LOW	LOW	28	32	1.18	1.15	LOW	LOW
NOR	SEWELLS POINT RD	CHESAPEAKE BLVD	PARTRIDGE ST								"9,124"	2/11 - 2/12	V							"8,244"	9/19 - 10/18	V	25	24	1.07	1.27	LOW	MOD	24	20	1.14	1.55	LOW	SEV
NOR	SEWELLS POINT RD	PARTRIDGE ST	PHILPOTTS RD								"9,124"	2/11 - 2/12	V							"8,244"	9/19 - 10/18	V	25	24	1.07	1.27	LOW	MOD	24	20	1.14	1.55	LOW	SEV
NOR	SEWELLS POINT RD	PHILPOTTS RD	I-64								"9,124"	2/11 - 2/12	V							"8,244"	9/19 - 10/18	V	28	27	1.05	1.10	LOW	LOW	27	26	1.10	1.13	LOW	LOW
NOR	SEWELLS POINT RD	I-64	LITTLE CREEK RD								"9,124"	2/11 - 2/12	V							"8,244"	9/19 - 10/18	V	28	27	1.05	1.10	LOW	LOW	27	26	1.10	1.13	LOW	LOW
NOR	SHORE DRIVE	21ST BAY ST	LITTLE CREEK RD								"23,876"	4/21 - 4/30	V							"23,818"	4/18 - 4/19	V	33	34	1.17	1.13	LOW	LOW	32	33	1.21	1.16	LOW	LOW
NOR	SHORE DRIVE	LITTLE CREEK RD	VA BEACH CL								"34,434"	4/21 - 4/22	V	"30,596"	11/9 - 11/10	C	"36,751"	6/21	C	"38,367"	10/23 - 10/25	C	41	41	1.14	1.11	LOW	LOW	36	41	1.31	1.11	MOD	LOW
NOR	SOUTH MAIN ST	I-464	BAINBRIDGE BLVD								"5,270"									"8,884"			-	-	-	-	MOD		-	-	-	-	SEV	
NOR	SOUTH MAIN ST	BAINBRIDGE BLVD	LIBERTY ST		"6,142"	4/3	V				"5,270"	4/8 - 4/9	V							"8,884"	3/27 - 3/29	V	-	-	-	-	MOD		-	-	-	-	SEV	
NOR	SOUTH MAIN ST	LIBERTY ST	BERKLEY AVE								"5,270"									"8,884"			-	-	-	-	MOD		-	-	-	-	SEV	
NOR	ST PAULS BLVD	WATERSIDE DR	CITY HALL AVE								"16,085"	2/18 - 3/26	V										23	20	0.91	1.11	LOW	LOW	19	21	1.08	1.07	LOW	LOW
NOR	ST PAULS BLVD	CITY HALL AVE	I-264 RAMP/MACARTHUR MALL								"43,558"	5/13 - 6/24	V							"44,308"	11/13 - 12/12	V	23	21	0.75	1.10	LOW	LOW	21	21	0.82	1.12	LOW	LOW
NOR	ST PAULS BLVD	I-264 RAMP/MACARTHUR MALL	BRAMBLETON AVE								"43,558"	5/13 - 6/24	V							"44,308"	11/13 - 12/12	V	24	24	1.18	1.22	LOW	LOW	24	21	1.16	1.36	LOW	MOD
NOR	ST PAULS BLVD	BRAMBLETON AVE	MONTICELLO AVE		"24,376"	6/12 - 6/13	V				"24,199"	5/5 - 5/7	V							"22,671"	5/15 - 5/16	V	24	23	1.36	1.14	MOD	LOW	26	22	1.24	1.21	LOW	LOW
NOR	STATE ST	LIBERTY ST	BERKLEY AVE		"3,641"	5/17 - 5/18	V																-	-	-	-	LOW		-	-	-	-	MOD	
NOR	STATE ST	BERKLEY AVE	I-464 RAMP								"1,665"	6/10 - 6/11	V							"1,705"	11/13 - 11/15	V	-	-	-	-	LOW		-	-	-	-	MOD	
NOR	THOLE ST	GRANBY ST	TIDEWATER DR								"11,383"	5/6 - 5/7	V							"10,586"	10/16 - 10/18	V	-	-	-	-	MOD		-	-	-	-	MOD	
NOR	TIDEWATER DR	CITY HALL AVE	BRAMBLETON AVE								"24,512"	3/4 - 3/5	V							"22,911"	12/11 - 12/20	V	31	33	1.16	1.15	LOW	LOW	32	28	1.10	1.34	LOW	MOD
NOR	TIDEWATER DR	BRAMBLETON AVE	VA BEACH BLVD								"33,995"	4/8 - 4/9	V							"33,980"	3/20 - 3/22	V	27	29	1.20	1.06	LOW	LOW	31	24	1.03	1.27	LOW	MOD
NOR	TIDEWATER DR	VA BEACH BLVD	PRINCESS ANNE RD								"33,225"	4/8 - 4/9	V							"31,834"	3/20 - 3/22	V	26	28	1.21	1.11	LOW	LOW	30	27	1.08	1.15	LOW	LOW
NOR	TIDEWATER DR	PRINCESS ANNE RD	LAFAYETTE BLVD								"33,225"	4/8 - 4/9	V							"31,834"	3/20 - 3/22	V	33	33	1.08	1.09	LOW	LOW	33	32	1.11	1.16	LOW	LOW
NOR	TIDEWATER DR	LAFAYETTE BLVD	CROMWELL DR								"31,528"	4/8 - 4/9	V							"28,766"	3/21 - 3/22	V	29	32	1.23	1.11	LOW	LOW	29	31	1.22	1.16	LOW	LOW
NOR	TIDEWATER DR	CROMWELL DR	NORVIEW AVE		"41,830"	Wkdy average	V	"41,267"	Wkdy average	V				"37,817"	Wkdy average	V	"39,390"	Wkdy average	V	"39,975"	Wkdy average	V	30	30	1.20	1.18	LOW	LOW	32	25	1.14	1.41	LOW	SEV
NOR	TIDEWATER DR	NORVIEW AVE	THOLE ST								"39,627"	4/8 - 4/9	V							"37,332"	3/20 - 3/22	V	36	38	1.09	1.07	LOW	LOW	36	37	1.11	1.09	LOW	LOW
NOR	TIDEWATER DR	THOLE ST	I-64								"39,627"	4/8 - 4/9	V							"37,332"	3/20 - 3/22	V	36	28	1.09	1.05	LOW	LOW	36	28	1.11	1.05	LOW	LOW
NOR	TIDEWATER DR	I-64	LITTLE CREEK RD								"31,401"	5/20 - 5/21	V							"32,206"	3/20 - 3/22	V	31	28	1.06	1.05	LOW	LOW	31	28	1.11	1.05	LOW	LOW
NOR	TIDEWATER DR	LITTLE CREEK RD	BAYVIEW BLVD								"19,672"	4/8 - 4/9	V							"19,072"	3/20 - 3/22	V	34	37	1.20	1.13	LOW	LOW	36	37	1.15	1.16	LOW	LOW
NOR	TIDEWATER DR	BAYVIEW BLVD	GRANBY ST								"13,330"	4/8 - 4/9	V							"13,040"	3/20 - 3/22	V	39	38	1.09	1.09	LOW	LOW	39	37	1.10	1.10	LOW	LOW
NOR	TIDEWATER DR	GRANBY ST	OCEAN VIEW AVE								"6,682"	4/8 - 4/9	V							"8,867"	5/9 - 5/10	V	35	37	1.17	1.16	LOW	LOW	33	38	1.26	1.12	MOD	LOW
NOR	VA BEACH BLVD	OLNEY RD	GRANBY ST								"6,362"	5/27 - 5/28	V							"6,415"	3/14 - 3/15	V	-	-	-	-	LOW		-	-	-	-	LOW	
NOR	VA BEACH BLVD	GRANBY ST	MONTICELLO AVE								"5,659"	3/4 - 3/5	V							"5,936"	3/13 - 5/10	V	-	-	-	-	LOW		-	-	-	-	LOW	
